0,1,2,3,4,5,6,7
393.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,790.0,1.0,1.0,0.0,0.0,0.0,6.0
0.0,0.0,920.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,3.0,781.0,0.0,0.0,0.0,11.0
1.0,0.0,1.0,0.0,420.0,0.0,0.0,9.0
0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,130.0,1.0
2.0,2.0,16.0,15.0,3.0,1.0,1.0,0.0
