epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1060.22,0.51263,0.49044,0.93699,0.9673,0.94655,0.98634,0.92096,0.36009,0.35609,0.84325,0.00079705,0.00079705,0.00079705
43,1085.88,0.53084,0.51097,0.94878,0.94031,0.93228,0.97839,0.90563,0.37629,0.37884,0.85262,0.0007921,0.0007921,0.0007921
44,1111.29,0.52227,0.49875,0.94016,0.97904,0.97364,0.9924,0.92351,0.38624,0.32194,0.85432,0.00078715,0.00078715,0.00078715
45,1136.75,0.51333,0.48282,0.94143,0.96573,0.9704,0.98792,0.92368,0.36389,0.32147,0.84961,0.0007822,0.0007822,0.0007822
46,1161.9,0.50055,0.47493,0.93056,0.9704,0.96301,0.99052,0.92462,0.36416,0.31845,0.84681,0.00077725,0.00077725,0.00077725
47,1186.95,0.50938,0.48192,0.9364,0.97253,0.96638,0.99114,0.92063,0.38413,0.32533,0.84754,0.0007723,0.0007723,0.0007723
48,1212.12,0.51991,0.49319,0.94278,0.97614,0.95892,0.98934,0.9252,0.36549,0.32253,0.84227,0.00076735,0.00076735,0.00076735
49,1237.11,0.5083,0.48669,0.93694,0.96687,0.9668,0.99092,0.92535,0.36418,0.31674,0.84757,0.0007624,0.0007624,0.0007624
50,1262.52,0.50841,0.47579,0.93593,0.96172,0.95548,0.98861,0.92073,0.36994,0.34197,0.84585,0.00075745,0.00075745,0.00075745
51,1288.02,0.50507,0.47788,0.93653,0.97392,0.9708,0.99173,0.92771,0.35536,0.30751,0.84257,0.0007525,0.0007525,0.0007525
52,1313.1,0.50285,0.4646,0.93473,0.96986,0.95234,0.98294,0.9173,0.37027,0.32387,0.84187,0.00074755,0.00074755,0.00074755
53,1338.1,0.50506,0.46806,0.93352,0.96928,0.96091,0.99053,0.91894,0.39287,0.32588,0.85125,0.0007426,0.0007426,0.0007426
54,1363.39,0.49998,0.46788,0.93067,0.97856,0.96808,0.99178,0.92495,0.37355,0.3104,0.84671,0.00073765,0.00073765,0.00073765
55,1388.22,0.50186,0.46982,0.93506,0.96636,0.96025,0.98899,0.92204,0.36171,0.3213,0.84834,0.0007327,0.0007327,0.0007327
56,1412.86,0.50247,0.47202,0.934,0.96789,0.96516,0.9904,0.92512,0.36233,0.32786,0.84381,0.00072775,0.00072775,0.00072775
57,1437.46,0.50001,0.46886,0.93741,0.98257,0.96979,0.99314,0.92465,0.37284,0.30539,0.84373,0.0007228,0.0007228,0.0007228
58,1462.49,0.48848,0.45571,0.92819,0.9708,0.96774,0.99117,0.92669,0.35485,0.30712,0.84077,0.00071785,0.00071785,0.00071785
59,1486.39,0.49119,0.46131,0.93094,0.97615,0.97042,0.98982,0.92484,0.35708,0.30834,0.83795,0.0007129,0.0007129,0.0007129
60,1510.73,0.4902,0.45829,0.93013,0.97849,0.9785,0.99335,0.93162,0.35732,0.2986,0.83815,0.00070795,0.00070795,0.00070795
61,1535.51,0.49824,0.47112,0.93566,0.9672,0.96484,0.98833,0.92752,0.35706,0.31594,0.8396,0.000703,0.000703,0.000703
62,1560.73,0.49556,0.46888,0.93142,0.98824,0.97341,0.9929,0.9315,0.36108,0.30308,0.83864,0.00069805,0.00069805,0.00069805
63,1586.06,0.4909,0.45438,0.9338,0.97996,0.97636,0.9928,0.93404,0.35481,0.29953,0.83897,0.0006931,0.0006931,0.0006931
64,1611.05,0.48282,0.44898,0.9296,0.95384,0.9463,0.98265,0.91223,0.37535,0.35053,0.85295,0.00068815,0.00068815,0.00068815
65,1636.33,0.48664,0.44784,0.93058,0.97772,0.97532,0.99265,0.92944,0.36401,0.3055,0.84773,0.0006832,0.0006832,0.0006832
66,1661.79,0.47998,0.44337,0.92791,0.98782,0.97622,0.99373,0.93567,0.35113,0.29137,0.84727,0.00067825,0.00067825,0.00067825
67,1686.71,0.48734,0.45724,0.93325,0.96376,0.97956,0.99228,0.93602,0.35327,0.29518,0.84078,0.0006733,0.0006733,0.0006733
68,1711.68,0.4888,0.46251,0.9345,0.97365,0.97566,0.9917,0.93282,0.3527,0.29802,0.84273,0.00066835,0.00066835,0.00066835
69,1737,0.49204,0.45915,0.93286,0.97598,0.97843,0.99227,0.93333,0.34248,0.29172,0.84315,0.0006634,0.0006634,0.0006634
70,1761.91,0.48555,0.45109,0.92704,0.9639,0.97214,0.98961,0.93238,0.34767,0.31186,0.84314,0.00065845,0.00065845,0.00065845
71,1786.9,0.48979,0.45011,0.92913,0.96513,0.97219,0.99126,0.93088,0.3471,0.30064,0.84367,0.0006535,0.0006535,0.0006535
72,1812.03,0.48166,0.44734,0.92761,0.97693,0.95825,0.98915,0.92888,0.35426,0.3022,0.84423,0.00064855,0.00064855,0.00064855
73,1837.45,0.46973,0.43456,0.91908,0.98156,0.98256,0.99326,0.94182,0.33836,0.27648,0.84041,0.0006436,0.0006436,0.0006436
74,1862.82,0.48702,0.44668,0.93194,0.97656,0.97075,0.98894,0.93265,0.34643,0.29439,0.83875,0.00063865,0.00063865,0.00063865
75,1888.1,0.48275,0.43953,0.92287,0.97366,0.97528,0.98955,0.93484,0.34105,0.28534,0.83449,0.0006337,0.0006337,0.0006337
76,1913.22,0.49315,0.45096,0.93458,0.98465,0.97414,0.99309,0.93498,0.34594,0.28354,0.84061,0.00062875,0.00062875,0.00062875
77,1938.06,0.4765,0.44038,0.92584,0.98149,0.97615,0.99224,0.94065,0.32674,0.27678,0.83954,0.0006238,0.0006238,0.0006238
78,1963.5,0.4826,0.44019,0.93015,0.97204,0.9772,0.99151,0.93956,0.3372,0.27991,0.83504,0.00061885,0.00061885,0.00061885
79,1988.84,0.47192,0.43279,0.92187,0.98278,0.97582,0.99333,0.93989,0.33756,0.27646,0.83447,0.0006139,0.0006139,0.0006139
80,2014.22,0.48492,0.44045,0.93185,0.98508,0.98327,0.99387,0.94038,0.34464,0.27489,0.83434,0.00060895,0.00060895,0.00060895
81,2039.7,0.47342,0.43707,0.92717,0.97493,0.96939,0.99197,0.93042,0.35526,0.29449,0.84208,0.000604,0.000604,0.000604
82,2064.6,0.4749,0.43267,0.92249,0.97863,0.97689,0.99339,0.9397,0.33764,0.27556,0.84228,0.00059905,0.00059905,0.00059905
83,2089.66,0.4715,0.43648,0.92306,0.97528,0.97573,0.99356,0.9425,0.33463,0.28177,0.8364,0.0005941,0.0005941,0.0005941
84,2114.73,0.47464,0.43654,0.92773,0.97676,0.97356,0.9922,0.93628,0.34949,0.28804,0.83786,0.00058915,0.00058915,0.00058915
85,2139.63,0.47311,0.43171,0.92236,0.98013,0.97787,0.99248,0.93952,0.34395,0.27612,0.83871,0.0005842,0.0005842,0.0005842
86,2164.44,0.48116,0.43866,0.92999,0.9847,0.97697,0.9926,0.93698,0.33955,0.27776,0.842,0.00057925,0.00057925,0.00057925
87,2189.43,0.45904,0.42265,0.92185,0.98779,0.97414,0.99369,0.94399,0.33618,0.2698,0.84029,0.0005743,0.0005743,0.0005743
88,2214.45,0.46462,0.42559,0.92292,0.96731,0.9658,0.98488,0.92915,0.34729,0.28964,0.83831,0.00056935,0.00056935,0.00056935
89,2239.25,0.4766,0.43301,0.92669,0.97377,0.97658,0.99203,0.94069,0.33132,0.27593,0.83631,0.0005644,0.0005644,0.0005644
90,2264.21,0.45961,0.41814,0.91988,0.98377,0.9814,0.99423,0.94648,0.32147,0.26541,0.83256,0.00055945,0.00055945,0.00055945
91,2288.93,0.46007,0.41923,0.92086,0.98659,0.97703,0.99385,0.9455,0.32598,0.27025,0.8327,0.0005545,0.0005545,0.0005545
92,2313.57,0.46504,0.42217,0.92123,0.97743,0.97954,0.99307,0.94085,0.33788,0.27498,0.837,0.00054955,0.00054955,0.00054955
93,2338.07,0.47169,0.43176,0.9277,0.97651,0.97663,0.99202,0.93913,0.33473,0.28408,0.83824,0.0005446,0.0005446,0.0005446
94,2362.56,0.45605,0.41504,0.91705,0.97251,0.97615,0.99103,0.93655,0.33954,0.28206,0.83493,0.00053965,0.00053965,0.00053965
95,2387.07,0.46725,0.42505,0.92559,0.9739,0.97053,0.98939,0.93636,0.3389,0.29036,0.83595,0.0005347,0.0005347,0.0005347
96,2411.94,0.45998,0.41973,0.92037,0.97771,0.96916,0.99334,0.94429,0.32167,0.2688,0.83073,0.00052975,0.00052975,0.00052975
97,2436.65,0.45698,0.41446,0.92201,0.97774,0.98366,0.99208,0.94474,0.32162,0.26938,0.83591,0.0005248,0.0005248,0.0005248
98,2461.38,0.45728,0.41601,0.91949,0.98213,0.98564,0.99345,0.94545,0.32445,0.26818,0.83102,0.00051985,0.00051985,0.00051985
99,2486.43,0.45803,0.42007,0.92532,0.98078,0.97891,0.99258,0.94265,0.33228,0.26548,0.83653,0.0005149,0.0005149,0.0005149
100,2511.1,0.4584,0.42167,0.92088,0.98028,0.97528,0.99171,0.94115,0.33119,0.27397,0.83472,0.00050995,0.00050995,0.00050995
101,2535.89,0.46111,0.42198,0.92468,0.95109,0.97761,0.98782,0.93373,0.33385,0.29409,0.83775,0.000505,0.000505,0.000505
